time,location,adjusted_level,adjusted_storage,ndwi_at,ndwi_up,ndwi_dn,ndwi_all,snow_at,snow_up,snow_dn,snow_all
2019-11-16,Hirakud,192.0,4.806,-0.039855920519094035,-0.05813826170258664,-0.001006204,-0.03396316952583064,0.0,0.0,0.0,0.0
2019-11-17,Hirakud,192.01,4.818,-0.0160964295744336,-0.011671829876637719,-0.02031807817073171,-0.016217685927924632,0.0,0.0,0.0,0.0
2019-11-18,Hirakud,192.02,4.823,-0.05726104338298882,-0.07542620276982612,-0.016878458,-0.050957243754591444,0.0,0.0,0.0,0.0
2019-11-19,Hirakud,192.01,4.818,-0.022382197112477138,-0.03154805224763797,-0.017105219,-0.02300463777761511,0.0,0.0,0.0,0.0
2019-11-20,Hirakud,192.0,4.806,-0.054250341412159106,-0.03885273553251704,-0.028207598,-0.0444122358523754,0.0004713783144604406,0.307385897688596,0.0,0.0657011935540401
2019-11-21,Hirakud,191.99,4.802,-0.020030276941606844,-0.043326466495060265,0.010752126,-0.01723707007314502,0.0,0.0,0.0,0.0
2019-11-22,Hirakud,192.0,4.809,-0.060642729357921546,-0.06713264513862725,-0.033437581,-0.055172150831556716,0.0,0.0,0.0,0.0
2019-11-23,Hirakud,191.99,4.802,-0.046007932278805425,-0.06934976393883599,0.000709477,-0.03921074290292252,0.0,0.0,0.0,0.0
2019-11-24,Hirakud,191.97,4.793,-0.05697647809104907,-0.06606699338752606,-0.034027974,-0.05313178303588509,0.0,0.012408433099448012,0.0,0.002642015958563294
2019-11-25,Hirakud,191.98,4.798,-0.06470257006792018,-0.07970788210867535,-0.017036668,-0.055891454770915824,0.0,0.0,0.0,0.0
2019-11-26,Hirakud,192.0,4.806,-0.051694781074417065,-0.05601434563991573,-0.041741761,-0.050107545826292385,0.0,0.0,0.0,0.0
2019-11-27,Hirakud,191.98,4.798,-0.07406935969748209,-0.09121219276346426,-0.036584549,-0.06827777522959681,0.0,0.0,0.0,0.0
2019-11-28,Hirakud,191.98,4.798,-0.00799102418794814,-0.03660927882796154,0.004984475,-0.010816189895406295,0.0,0.0,0.0,0.0
2019-11-29,Hirakud,191.97,4.791,-0.08313751269487793,-0.090837128428357,-0.053340238,-0.07727160132736074,0.0,0.0,0.0,0.0
2019-11-30,Hirakud,191.96,4.782,-0.0372502045188491,-0.06414153005261286,-0.010714851,-0.03629222207403656,0.0,0.0,0.0,0.0
2019-12-01,Hirakud,191.96,4.782,-0.040119913177583004,-0.042279747010321944,-0.017751195,-0.034945566667064554,0.2279964887700502,0.17941123333532114,0.150531663,0.19813986980140458
2019-12-02,Hirakud,191.96,4.782,-0.05152217548431252,-0.07894056256313556,-0.001256656,-0.04469927430076843,0.0,0.0,0.0,0.0
2019-12-03,Hirakud,191.95,4.778,-0.03674963667236869,-0.03285185875826385,-0.040468628170731706,-0.03685645545121046,0.0,0.0,0.0,0.0
2019-12-04,Hirakud,191.95,4.778,-0.08136581217465783,-0.09977724728417453,-0.040601124,-0.0750182059769764,0.0,0.0,0.0,0.0
2019-12-05,Hirakud,191.95,4.778,-0.05111366292721941,-0.050193341554109275,-0.051037666,-0.05089856511760707,0.0,0.0,0.0,0.0
2019-12-06,Hirakud,191.94,4.771,-0.0913434183011935,-0.09727412949025718,-0.06017154,-0.0847546356091621,0.0,0.0,0.0,0.0
2019-12-07,Hirakud,191.91,4.756,-0.05484316160722555,-0.07231107867168061,-0.019045641,-0.04954578805269771,0.0,0.0,0.0,0.0
2019-12-08,Hirakud,191.92,4.755,-0.08968354018018401,-0.09637972177469131,-0.054449966,-0.08223468447694245,0.0,0.0,0.0,0.0
2019-12-09,Hirakud,191.9,4.745,-0.07381953295057676,-0.09078283577656196,-0.029402215,-0.06624356659411748,0.0,0.0,0.0,0.0
2019-12-10,Hirakud,191.89,4.738,-0.08082209513188532,-0.09161541161860788,-0.043597098,-0.07374400695605732,0.0,0.0,0.0,0.0
2019-12-11,Hirakud,191.87,4.727,-0.08559381594998111,-0.10210093640575663,-0.050837414,-0.08035410501998022,0.0,0.0,0.0,0.0
2019-12-12,Hirakud,191.86,4.72,-0.08908237719941461,-0.051649689730094636,-0.058347305,-0.07337063887214486,0.0,0.0,0.0,0.0
2019-12-13,Hirakud,191.85,4.713,-0.06937121438459876,-0.037473855281742005,-0.048033737,-0.05720512473300273,0.0,0.0,0.0,0.0
2019-12-14,Hirakud,191.84,4.704,-0.045584451609988356,-0.04048281328615279,-0.01914424,-0.0378384596650571,0.0,0.0,0.0,0.0
2019-12-15,Hirakud,191.83,4.697,-0.0947150800808407,-0.07864892479990743,-0.075727033,-0.08651155936417759,0.0,0.0,0.0,0.0
2019-12-16,Hirakud,191.82,4.693,0.007415951773191256,0.004341213951999637,-0.005398759,0.0035335131955657123,0.0,0.0,0.0,0.0
2019-12-17,Hirakud,191.82,4.693,-0.03564208676314335,-0.0344298445317701,-0.064099985,-0.04255193476200846,0.0,0.0,0.0,0.0
2019-12-18,Hirakud,191.81,4.69,-0.06672986244203152,-0.09721469119509774,-0.010273526,-0.05900053149467393,0.0,0.0,0.0,0.0
